site,day,count1
1,1,0
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,7
8,1,5
9,1,1
10,1,3
11,1,6
12,1,9
13,1,6
14,1,9
15,1,12
16,1,3
17,1,9
18,1,3
19,1,4
20,1,6
21,1,1
22,1,4
23,1,3
24,1,7
25,1,6
26,1,2
27,1,3
1,2,2
2,2,0
3,2,3
4,2,0
5,2,2
6,2,1
7,2,1
8,2,1
9,2,2
10,2,1
11,2,2
12,2,3
13,2,10
14,2,2
15,2,4
16,2,1
17,2,5
18,2,9
19,2,5
20,2,2
21,2,2
22,2,NA
23,2,NA
24,2,NA
25,2,5
26,2,3
27,2,8
1,3,1
2,3,0
3,3,0
4,3,1
5,3,2
6,3,0
7,3,0
8,3,1
9,3,4
10,3,0
11,3,1
12,3,0
13,3,2
14,3,4
15,3,5
16,3,5
17,3,4
18,3,4
19,3,4
20,3,1
21,3,2
22,3,4
23,3,NA
24,3,NA
25,3,8
26,3,4
27,3,2
1,4,1
2,4,0
3,4,1
4,4,2
5,4,1
6,4,0
7,4,2
8,4,1
9,4,3
10,4,0
11,4,0
12,4,3
13,4,1
14,4,2
15,4,0
16,4,2
17,4,2
18,4,4
19,4,2
20,4,1
21,4,7
22,4,4
23,4,6
24,4,9
25,4,6
26,4,2
27,4,1
1,5,2
2,5,0
3,5,1
4,5,2
5,5,1
6,5,1
7,5,0
8,5,1
9,5,1
10,5,0
11,5,0
12,5,0
13,5,1
14,5,1
15,5,3
16,5,1
17,5,NA
18,5,NA
19,5,NA
20,5,NA
21,5,NA
22,5,NA
23,5,NA
24,5,NA
25,5,NA
26,5,NA
27,5,NA
